container	lot_id	layer	component	harness	independent	tol_subcaliber	rel_diff	verdict
base_valuation	L01	per_unit	delta	1.0	1	(a) bit-exact	0	OK
base_valuation	L01	per_unit	gamma	0.0	0	(a) bit-exact	0	OK
base_valuation	L01	per_unit	rho	0.0	0	(a) bit-exact	0	OK
base_valuation	L01	per_unit	theta	0.0	0	(a) bit-exact	0	OK
base_valuation	L01	per_unit	value	100.0	100	(a) bit-exact	0	OK
base_valuation	L01	per_unit	vega	0.0	0	(a) bit-exact	0	OK
base_valuation	L01	per_lot	delta	1000.0	1000	(a) bit-exact	0	OK
base_valuation	L01	per_lot	gamma	0.0	0	(a) bit-exact	0	OK
base_valuation	L01	per_lot	rho	0.0	0	(a) bit-exact	0	OK
base_valuation	L01	per_lot	theta	0.0	0	(a) bit-exact	0	OK
base_valuation	L01	per_lot	value	100000.0	100000	(a) bit-exact	0	OK
base_valuation	L01	per_lot	vega	0.0	0	(a) bit-exact	0	OK
base_valuation	L02	per_unit	delta	1.0	1	(a) bit-exact	0	OK
base_valuation	L02	per_unit	gamma	0.0	0	(a) bit-exact	0	OK
base_valuation	L02	per_unit	rho	0.0	0	(a) bit-exact	0	OK
base_valuation	L02	per_unit	theta	0.0	0	(a) bit-exact	0	OK
base_valuation	L02	per_unit	value	50.0	50	(a) bit-exact	0	OK
base_valuation	L02	per_unit	vega	0.0	0	(a) bit-exact	0	OK
base_valuation	L02	per_lot	delta	200.0	200	(a) bit-exact	0	OK
base_valuation	L02	per_lot	gamma	0.0	0	(a) bit-exact	0	OK
base_valuation	L02	per_lot	rho	0.0	0	(a) bit-exact	0	OK
base_valuation	L02	per_lot	theta	0.0	0	(a) bit-exact	0	OK
base_valuation	L02	per_lot	value	10000.0	10000	(a) bit-exact	0	OK
base_valuation	L02	per_lot	vega	0.0	0	(a) bit-exact	0	OK
base_valuation	L03	per_unit	delta	1.0	1	(a) bit-exact	0	OK
base_valuation	L03	per_unit	gamma	0.0	0	(a) bit-exact	0	OK
base_valuation	L03	per_unit	rho	0.0	0	(a) bit-exact	0	OK
base_valuation	L03	per_unit	theta	0.0	0	(a) bit-exact	0	OK
base_valuation	L03	per_unit	value	4000.0	4000	(a) bit-exact	0	OK
base_valuation	L03	per_unit	vega	0.0	0	(a) bit-exact	0	OK
base_valuation	L03	per_lot	delta	10.0	10	(a) bit-exact	0	OK
base_valuation	L03	per_lot	gamma	0.0	0	(a) bit-exact	0	OK
base_valuation	L03	per_lot	rho	0.0	0	(a) bit-exact	0	OK
base_valuation	L03	per_lot	theta	0.0	0	(a) bit-exact	0	OK
base_valuation	L03	per_lot	value	40000.0	40000	(a) bit-exact	0	OK
base_valuation	L03	per_lot	vega	0.0	0	(a) bit-exact	0	OK
base_valuation	L04	per_unit	delta	1.0	1	(a) bit-exact	0	OK
base_valuation	L04	per_unit	gamma	0.0	0	(a) bit-exact	0	OK
base_valuation	L04	per_unit	rho	0.0	0	(a) bit-exact	0	OK
base_valuation	L04	per_unit	theta	0.0	0	(a) bit-exact	0	OK
base_valuation	L04	per_unit	value	4000.0	4000	(a) bit-exact	0	OK
base_valuation	L04	per_unit	vega	0.0	0	(a) bit-exact	0	OK
base_valuation	L04	per_lot	delta	-200.0	-200	(a) bit-exact	0	OK
base_valuation	L04	per_lot	gamma	-0.0	0	(a) bit-exact	0	OK
base_valuation	L04	per_lot	rho	-0.0	0	(a) bit-exact	0	OK
base_valuation	L04	per_lot	theta	-0.0	0	(a) bit-exact	0	OK
base_valuation	L04	per_lot	value	-800000.0	-800000	(a) bit-exact	0	OK
base_valuation	L04	per_lot	vega	-0.0	0	(a) bit-exact	0	OK
base_valuation	L05	per_unit	delta	0.3417006551118077	0.3417006551118079179514925625735569529962	(b) rel<=1e-12	6.37843e-16	OK
base_valuation	L05	per_unit	gamma	0.03687995856765656	0.03687995856765655935891219393871762252451	(b) rel<=1e-12	1.73831e-17	OK
base_valuation	L05	per_unit	rho	7.895914788897369	7.895914788897374852280295354127301440152	(b) rel<=1e-12	7.41178e-16	OK
base_valuation	L05	per_unit	theta	-7.824110363512778	-7.824110363512780601882635878635344083961	(b) rel<=1e-12	3.32547e-16	OK
base_valuation	L05	per_unit	value	2.1477444228747657	2.147744422874771560901391765617195014557	(b) rel<=1e-12	2.72886e-15	OK
base_valuation	L05	per_unit	vega	18.187376827885423	18.18737682788542653316217783279225220387	(b) rel<=1e-12	1.94265e-16	OK
