component	harness	independent	diff	match
put.t1.moneyness_band_position	within	within	0	True
put.t1.stressed_vega	477/5	477/5	0	True
put.t1.stressed_gamma	327/2000	327/2000	0	True
put.t1.vega_response_ratio	1	1	0	True
put.t1.gamma_response_ratio	1	1	0	True
put.t1.combined_response_ratio	1	1	0	True
put.t1.below_floor	False	False	0	True
put.t1.consecutive_below_count	0	0	0	True
put.t1.wing_dullness_triggered	False	False	0	True
put.t2.moneyness_band_position	within	within	0	True
put.t2.stressed_vega	901/10	901/10	0	True
put.t2.stressed_gamma	763/5000	763/5000	0	True
put.t2.vega_response_ratio	17/18	17/18	0	True
put.t2.gamma_response_ratio	14/15	14/15	0	True
put.t2.combined_response_ratio	14/15	14/15	0	True
put.t2.below_floor	False	False	0	True
put.t2.consecutive_below_count	0	0	0	True
put.t2.wing_dullness_triggered	False	False	0	True
put.t3.moneyness_band_position	below	below	0	True
put.t3.stressed_vega	212/5	212/5	0	True
put.t3.stressed_gamma	109/2000	109/2000	0	True
put.t3.vega_response_ratio	4/9	4/9	0	True
put.t3.gamma_response_ratio	1/3	1/3	0	True
put.t3.combined_response_ratio	1/3	1/3	0	True
put.t3.below_floor	True	True	0	True
put.t3.consecutive_below_count	1	1	0	True
put.t3.wing_dullness_triggered	False	False	0	True
put.t4.moneyness_band_position	below	below	0	True
put.t4.stressed_vega	371/10	371/10	0	True
put.t4.stressed_gamma	981/20000	981/20000	0	True
put.t4.vega_response_ratio	7/18	7/18	0	True
put.t4.gamma_response_ratio	3/10	3/10	0	True
put.t4.combined_response_ratio	3/10	3/10	0	True
put.t4.below_floor	True	True	0	True
put.t4.consecutive_below_count	2	2	0	True
put.t4.wing_dullness_triggered	False	False	0	True
put.t5.moneyness_band_position	below	below	0	True
put.t5.stressed_vega	159/5	159/5	0	True
put.t5.stressed_gamma	109/2500	109/2500	0	True
put.t5.vega_response_ratio	1/3	1/3	0	True
put.t5.gamma_response_ratio	4/15	4/15	0	True
put.t5.combined_response_ratio	4/15	4/15	0	True
put.t5.below_floor	True	True	0	True
put.t5.consecutive_below_count	3	3	0	True
put.t5.wing_dullness_triggered	True	True	0	True
put.t6.moneyness_band_position	within	within	0	True
put.t6.stressed_vega	901/10	901/10	0	True
put.t6.stressed_gamma	1417/10000	1417/10000	0	True
put.t6.vega_response_ratio	17/18	17/18	0	True
put.t6.gamma_response_ratio	13/15	13/15	0	True
put.t6.combined_response_ratio	13/15	13/15	0	True
put.t6.below_floor	False	False	0	True
put.t6.consecutive_below_count	0	0	0	True
put.t6.wing_dullness_triggered	False	False	0	True
call.t1.moneyness_band_position	within	within	0	True
call.t1.stressed_vega	371/5	371/5	0	True
call.t1.stressed_gamma	763/20000	763/20000	0	True
call.t1.vega_response_ratio	1	1	0	True
call.t1.gamma_response_ratio	1	1	0	True
call.t1.combined_response_ratio	1	1	0	True
call.t1.below_floor	False	False	0	True
call.t1.consecutive_below_count	0	0	0	True
call.t1.wing_dullness_triggered	False	False	0	True
call.t2.moneyness_band_position	within	within	0	True
call.t2.stressed_vega	1802/25	1802/25	0	True
call.t2.stressed_gamma	1853/50000	1853/50000	0	True
call.t2.vega_response_ratio	34/35	34/35	0	True
call.t2.gamma_response_ratio	34/35	34/35	0	True
call.t2.combined_response_ratio	34/35	34/35	0	True
call.t2.below_floor	False	False	0	True
call.t2.consecutive_below_count	0	0	0	True
call.t2.wing_dullness_triggered	False	False	0	True
call.t3.moneyness_band_position	within	within	0	True
call.t3.stressed_vega	1908/25	1908/25	0	True
call.t3.stressed_gamma	981/25000	981/25000	0	True
call.t3.vega_response_ratio	36/35	36/35	0	True
call.t3.gamma_response_ratio	36/35	36/35	0	True
call.t3.combined_response_ratio	36/35	36/35	0	True
call.t3.below_floor	False	False	0	True
call.t3.consecutive_below_count	0	0	0	True
call.t3.wing_dullness_triggered	False	False	0	True
call.t4.moneyness_band_position	within	within	0	True
call.t4.stressed_vega	689/10	689/10	0	True
call.t4.stressed_gamma	3597/100000	3597/100000	0	True
call.t4.vega_response_ratio	13/14	13/14	0	True
call.t4.gamma_response_ratio	33/35	33/35	0	True
call.t4.combined_response_ratio	13/14	13/14	0	True
call.t4.below_floor	False	False	0	True
call.t4.consecutive_below_count	0	0	0	True
call.t4.wing_dullness_triggered	False	False	0	True
call.t5.moneyness_band_position	within	within	0	True
call.t5.stressed_vega	3657/50	3657/50	0	True
call.t5.stressed_gamma	7521/200000	7521/200000	0	True
call.t5.vega_response_ratio	69/70	69/70	0	True
call.t5.gamma_response_ratio	69/70	69/70	0	True
call.t5.combined_response_ratio	69/70	69/70	0	True
call.t5.below_floor	False	False	0	True
call.t5.consecutive_below_count	0	0	0	True
call.t5.wing_dullness_triggered	False	False	0	True
call.t6.moneyness_band_position	within	within	0	True
call.t6.stressed_vega	3763/50	3763/50	0	True
call.t6.stressed_gamma	7739/200000	7739/200000	0	True
call.t6.vega_response_ratio	71/70	71/70	0	True
call.t6.gamma_response_ratio	71/70	71/70	0	True
call.t6.combined_response_ratio	71/70	71/70	0	True
call.t6.below_floor	False	False	0	True
call.t6.consecutive_below_count	0	0	0	True
call.t6.wing_dullness_triggered	False	False	0	True
