wing	t	field	harness_value	independent_value	diff
put	1	moneyness_band_position	below	below	0
put	1	stressed_vega	63/5	63/5	0
put	1	stressed_gamma	66/5	66/5	0
put	1	vega_response_ratio	3/5	3/5	0
put	1	gamma_response_ratio	11/20	11/20	0
put	1	combined_response_ratio	11/20	11/20	0
put	1	below_floor	True	True	0
put	1	consecutive_below_count	1	1	0
put	1	wing_dullness_triggered	False	False	0
put	2	moneyness_band_position	within	within	0
put	2	stressed_vega	21/2	21/2	0
put	2	stressed_gamma	78/5	78/5	0
put	2	vega_response_ratio	1/2	1/2	0
put	2	gamma_response_ratio	13/20	13/20	0
put	2	combined_response_ratio	1/2	1/2	0
put	2	below_floor	True	True	0
put	2	consecutive_below_count	2	2	0
put	2	wing_dullness_triggered	False	False	0
put	3	moneyness_band_position	within	within	0
put	3	stressed_vega	63/4	63/4	0
put	3	stressed_gamma	72/5	72/5	0
put	3	vega_response_ratio	3/4	3/4	0
put	3	gamma_response_ratio	3/5	3/5	0
put	3	combined_response_ratio	3/5	3/5	0
put	3	below_floor	True	True	0
put	3	consecutive_below_count	3	3	0
put	3	wing_dullness_triggered	False	False	0
put	4	moneyness_band_position	within	within	0
put	4	stressed_vega	189/20	189/20	0
put	4	stressed_gamma	96/5	96/5	0
put	4	vega_response_ratio	9/20	9/20	0
put	4	gamma_response_ratio	4/5	4/5	0
put	4	combined_response_ratio	9/20	9/20	0
put	4	below_floor	True	True	0
put	4	consecutive_below_count	4	4	0
put	4	wing_dullness_triggered	True	True	0
put	5	moneyness_band_position	within	within	0
put	5	stressed_vega	357/20	357/20	0
put	5	stressed_gamma	108/5	108/5	0
put	5	vega_response_ratio	17/20	17/20	0
put	5	gamma_response_ratio	9/10	9/10	0
put	5	combined_response_ratio	17/20	17/20	0
put	5	below_floor	False	False	0
put	5	consecutive_below_count	0	0	0
put	5	wing_dullness_triggered	False	False	0
put	6	moneyness_band_position	within	within	0
put	6	stressed_vega	273/20	273/20	0
put	6	stressed_gamma	18	18	0
put	6	vega_response_ratio	13/20	13/20	0
put	6	gamma_response_ratio	3/4	3/4	0
put	6	combined_response_ratio	13/20	13/20	0
put	6	below_floor	True	True	0
put	6	consecutive_below_count	1	1	0
put	6	wing_dullness_triggered	False	False	0
put	7	moneyness_band_position	within	within	0
put	7	stressed_vega	63/5	63/5	0
put	7	stressed_gamma	102/5	102/5	0
put	7	vega_response_ratio	3/5	3/5	0
put	7	gamma_response_ratio	17/20	17/20	0
put	7	combined_response_ratio	3/5	3/5	0
put	7	below_floor	True	True	0
put	7	consecutive_below_count	2	2	0
put	7	wing_dullness_triggered	False	False	0
put	8	moneyness_band_position	above	above	0
put	8	stressed_vega	84/5	84/5	0
put	8	stressed_gamma	66/5	66/5	0
put	8	vega_response_ratio	4/5	4/5	0
put	8	gamma_response_ratio	11/20	11/20	0
put	8	combined_response_ratio	11/20	11/20	0
put	8	below_floor	True	True	0
put	8	consecutive_below_count	3	3	0
put	8	wing_dullness_triggered	False	False	0
put	9	moneyness_band_position	within	within	0
put	9	stressed_vega	399/20	399/20	0
put	9	stressed_gamma	18	18	0
put	9	vega_response_ratio	19/20	19/20	0
put	9	gamma_response_ratio	3/4	3/4	0
put	9	combined_response_ratio	3/4	3/4	0
put	9	below_floor	False	False	0
put	9	consecutive_below_count	0	0	0
put	9	wing_dullness_triggered	False	False	0
call	1	moneyness_band_position	below	below	0
call	1	stressed_vega	84/5	84/5	0
call	1	stressed_gamma	102/5	102/5	0
call	1	vega_response_ratio	4/5	4/5	0
call	1	gamma_response_ratio	17/20	17/20	0
call	1	combined_response_ratio	4/5	4/5	0
call	1	below_floor	False	False	0
call	1	consecutive_below_count	0	0	0
call	1	wing_dullness_triggered	False	False	0
call	2	moneyness_band_position	within	within	0
call	2	stressed_vega	63/4	63/4	0
call	2	stressed_gamma	84/5	84/5	0
call	2	vega_response_ratio	3/4	3/4	0
call	2	gamma_response_ratio	7/10	7/10	0
call	2	combined_response_ratio	7/10	7/10	0
call	2	below_floor	False	False	0
call	2	consecutive_below_count	0	0	0
call	2	wing_dullness_triggered	False	False	0
call	3	moneyness_band_position	within	within	0
call	3	stressed_vega	273/20	273/20	0
call	3	stressed_gamma	114/5	114/5	0
call	3	vega_response_ratio	13/20	13/20	0
