# 底版-增强版diff面清单（S-1机械前哨）
# route_table层面变动：
instrument_class	field	baseline_v1_1	enhanced_v1_2candidate
european_option	route_id	'bs_no_dividend_closed_form'	'bs_dividend_yield_closed_form'
european_option	unstated_dimensions_hit	['dividend_carry', 'day_count_convention']	['day_count_convention']
american_option	unstated_dimensions_hit	['early_exercise', 'dividend_carry', 'day_count_convention']	['early_exercise', 'day_count_convention']
#
# per-lot数值分量层面变动（288项全量，含零变动行）：
container	lot_id	layer	component	baseline_v1_1	enhanced_v1_2candidate	verdict
base_valuation	L01	per_unit	value	100.0	100.0	零变动
base_valuation	L01	per_unit	delta	1.0	1.0	零变动
base_valuation	L01	per_unit	gamma	0.0	0.0	零变动
base_valuation	L01	per_unit	vega	0.0	0.0	零变动
base_valuation	L01	per_unit	theta	0.0	0.0	零变动
base_valuation	L01	per_unit	rho	0.0	0.0	零变动
base_valuation	L01	per_lot	value	100000.0	100000.0	零变动
base_valuation	L01	per_lot	delta	1000.0	1000.0	零变动
base_valuation	L01	per_lot	gamma	0.0	0.0	零变动
base_valuation	L01	per_lot	vega	0.0	0.0	零变动
base_valuation	L01	per_lot	theta	0.0	0.0	零变动
base_valuation	L01	per_lot	rho	0.0	0.0	零变动
base_valuation	L02	per_unit	value	50.0	50.0	零变动
base_valuation	L02	per_unit	delta	1.0	1.0	零变动
base_valuation	L02	per_unit	gamma	0.0	0.0	零变动
base_valuation	L02	per_unit	vega	0.0	0.0	零变动
base_valuation	L02	per_unit	theta	0.0	0.0	零变动
base_valuation	L02	per_unit	rho	0.0	0.0	零变动
base_valuation	L02	per_lot	value	10000.0	10000.0	零变动
base_valuation	L02	per_lot	delta	200.0	200.0	零变动
base_valuation	L02	per_lot	gamma	0.0	0.0	零变动
base_valuation	L02	per_lot	vega	0.0	0.0	零变动
base_valuation	L02	per_lot	theta	0.0	0.0	零变动
base_valuation	L02	per_lot	rho	0.0	0.0	零变动
base_valuation	L03	per_unit	value	4000.0	4000.0	零变动
base_valuation	L03	per_unit	delta	1.0	1.0	零变动
base_valuation	L03	per_unit	gamma	0.0	0.0	零变动
base_valuation	L03	per_unit	vega	0.0	0.0	零变动
base_valuation	L03	per_unit	theta	0.0	0.0	零变动
base_valuation	L03	per_unit	rho	0.0	0.0	零变动
base_valuation	L03	per_lot	value	40000.0	40000.0	零变动
base_valuation	L03	per_lot	delta	10.0	10.0	零变动
base_valuation	L03	per_lot	gamma	0.0	0.0	零变动
base_valuation	L03	per_lot	vega	0.0	0.0	零变动
base_valuation	L03	per_lot	theta	0.0	0.0	零变动
base_valuation	L03	per_lot	rho	0.0	0.0	零变动
base_valuation	L04	per_unit	value	4000.0	4000.0	零变动
base_valuation	L04	per_unit	delta	1.0	1.0	零变动
base_valuation	L04	per_unit	gamma	0.0	0.0	零变动
base_valuation	L04	per_unit	vega	0.0	0.0	零变动
base_valuation	L04	per_unit	theta	0.0	0.0	零变动
base_valuation	L04	per_unit	rho	0.0	0.0	零变动
base_valuation	L04	per_lot	value	-800000.0	-800000.0	零变动
base_valuation	L04	per_lot	delta	-200.0	-200.0	零变动
base_valuation	L04	per_lot	gamma	-0.0	-0.0	零变动
base_valuation	L04	per_lot	vega	-0.0	-0.0	零变动
base_valuation	L04	per_lot	theta	-0.0	-0.0	零变动
base_valuation	L04	per_lot	rho	-0.0	-0.0	零变动
base_valuation	L05	per_unit	value	2.2769021106027196	2.1477444228747657	变动
base_valuation	L05	per_unit	delta	0.35675831004914355	0.3417006551118077	变动
base_valuation	L05	per_unit	gamma	0.03755225472818767	0.03687995856765656	变动
base_valuation	L05	per_unit	vega	18.518920139928166	18.187376827885423	变动
base_valuation	L05	per_unit	theta	-8.512418812466883	-7.824110363512778	变动
base_valuation	L05	per_unit	rho	8.23535233010424	7.895914788897369	变动
base_valuation	L05	per_lot	value	1138.4510553013597	1073.872211437383	变动
base_valuation	L05	per_lot	delta	178.37915502457176	170.85032755590385	变动
base_valuation	L05	per_lot	gamma	18.776127364093835	18.43997928382828	变动
base_valuation	L05	per_lot	vega	9259.460069964083	9093.688413942711	变动
base_valuation	L05	per_lot	theta	-4256.209406233442	-3912.055181756389	变动
base_valuation	L05	per_lot	rho	4117.67616505212	3947.9573944486847	变动
base_valuation	L06	per_unit	value	1.3787417764865708	1.4257977073029018	变动
base_valuation	L06	per_unit	delta	-0.25131457495619525	-0.25759823216443317	变动
base_valuation	L06	per_unit	gamma	0.03630182274788	0.036741960506304475	变动
base_valuation	L06	per_unit	vega	11.188917970236988	11.324576868381516	变动
base_valuation	L06	per_unit	theta	-10.549013630549318	-11.052691378754412	变动
base_valuation	L06	per_unit	rho	-3.268380732177463	-3.351651894708437	变动
base_valuation	L06	per_lot	value	-1102.9934211892567	-1140.6381658423215	变动
base_valuation	L06	per_lot	delta	201.0516599649562	206.07858573154653	变动
base_valuation	L06	per_lot	gamma	-29.041458198304	-29.39356840504358	变动
base_valuation	L06	per_lot	vega	-8951.13437618959	-9059.661494705213	变动
base_valuation	L06	per_lot	theta	8439.210904439455	8842.15310300353	变动
base_valuation	L06	per_lot	rho	2614.7045857419707	2681.3215157667496	变动
base_valuation	L07	per_unit	value	13.57742061714417	14.033266970540723	变动
base_valuation	L07	per_unit	delta	-0.6083824699588526	-0.6172311392937918	变动
base_valuation	L07	per_unit	gamma	0.018182833997598062	0.017863032306723512	变动
base_valuation	L07	per_unit	vega	27.050079070399306	26.574319294659905	变动
base_valuation	L07	per_unit	theta	-5.949805270528246	-6.691519819968669	变动
base_valuation	L07	per_unit	rho	-36.90201599440637	-37.566862857220556	变动
base_valuation	L07	per_lot	value	4073.2261851432513	4209.980091162217	变动
base_valuation	L07	per_lot	delta	-182.51474098765578	-185.16934178813753	变动
base_valuation	L07	per_lot	gamma	5.454850199279418	5.358909692017054	变动
base_valuation	L07	per_lot	vega	8115.023721119792	7972.295788397972	变动
base_valuation	L07	per_lot	theta	-1784.9415811584736	-2007.4559459906009	变动
base_valuation	L07	per_lot	rho	-11070.60479832191	-11270.058857166166	变动
base_valuation	L08	per_unit	value	2.9589092568842563	2.6308938371646686	变动
base_valuation	L08	per_unit	delta	0.3124569917980415	0.2842356209603052	变动
base_valuation	L08	per_unit	gamma	0.020228758646389986	0.019151844930957507	变动
base_valuation	L08	per_unit	vega	17.70016381559124	16.75786431458782	变动
base_valuation	L08	per_unit	theta	-3.4774468777190015	-2.9673936883220504	变动
base_valuation	L08	per_unit	rho	12.663940333017818	11.58088721085059	变动
base_valuation	L08	per_lot	value	-591.7818513768513	-526.1787674329337	变动
base_valuation	L08	per_lot	delta	-62.4913983596083	-56.84712419206104	变动
base_valuation	L08	per_lot	gamma	-4.045751729277997	-3.8303689861915013	变动
base_valuation	L08	per_lot	vega	-3540.0327631182477	-3351.572862917564	变动
base_valuation	L08	per_lot	theta	695.4893755438003	593.4787376644101	变动
base_valuation	L08	per_lot	rho	-2532.7880666035635	-2316.177442170118	变动
scenario_revaluation	L01	per_unit	value	95.0	95.0	零变动
scenario_revaluation	L01	per_unit	delta	1.0	1.0	零变动
scenario_revaluation	L01	per_unit	gamma	0.0	0.0	零变动
scenario_revaluation	L01	per_unit	vega	0.0	0.0	零变动
scenario_revaluation	L01	per_unit	theta	0.0	0.0	零变动
scenario_revaluation	L01	per_unit	rho	0.0	0.0	零变动
scenario_revaluation	L01	per_lot	value	95000.0	95000.0	零变动
scenario_revaluation	L01	per_lot	delta	1000.0	1000.0	零变动
scenario_revaluation	L01	per_lot	gamma	0.0	0.0	零变动
scenario_revaluation	L01	per_lot	vega	0.0	0.0	零变动
scenario_revaluation	L01	per_lot	theta	0.0	0.0	零变动
scenario_revaluation	L01	per_lot	rho	0.0	0.0	零变动
scenario_revaluation	L02	per_unit	value	47.5	47.5	零变动
scenario_revaluation	L02	per_unit	delta	1.0	1.0	零变动
scenario_revaluation	L02	per_unit	gamma	0.0	0.0	零变动
scenario_revaluation	L02	per_unit	vega	0.0	0.0	零变动
scenario_revaluation	L02	per_unit	theta	0.0	0.0	零变动
scenario_revaluation	L02	per_unit	rho	0.0	0.0	零变动
scenario_revaluation	L02	per_lot	value	9500.0	9500.0	零变动
scenario_revaluation	L02	per_lot	delta	200.0	200.0	零变动
scenario_revaluation	L02	per_lot	gamma	0.0	0.0	零变动
scenario_revaluation	L02	per_lot	vega	0.0	0.0	零变动
scenario_revaluation	L02	per_lot	theta	0.0	0.0	零变动
scenario_revaluation	L02	per_lot	rho	0.0	0.0	零变动
scenario_revaluation	L03	per_unit	value	3800.0	3800.0	零变动
scenario_revaluation	L03	per_unit	delta	1.0	1.0	零变动
scenario_revaluation	L03	per_unit	gamma	0.0	0.0	零变动
scenario_revaluation	L03	per_unit	vega	0.0	0.0	零变动
scenario_revaluation	L03	per_unit	theta	0.0	0.0	零变动
scenario_revaluation	L03	per_unit	rho	0.0	0.0	零变动
scenario_revaluation	L03	per_lot	value	38000.0	38000.0	零变动
scenario_revaluation	L03	per_lot	delta	10.0	10.0	零变动
scenario_revaluation	L03	per_lot	gamma	0.0	0.0	零变动
scenario_revaluation	L03	per_lot	vega	0.0	0.0	零变动
scenario_revaluation	L03	per_lot	theta	0.0	0.0	零变动
scenario_revaluation	L03	per_lot	rho	0.0	0.0	零变动
scenario_revaluation	L04	per_unit	value	3800.0	3800.0	零变动
scenario_revaluation	L04	per_unit	delta	1.0	1.0	零变动
scenario_revaluation	L04	per_unit	gamma	0.0	0.0	零变动
scenario_revaluation	L04	per_unit	vega	0.0	0.0	零变动
scenario_revaluation	L04	per_unit	theta	0.0	0.0	零变动
scenario_revaluation	L04	per_unit	rho	0.0	0.0	零变动
scenario_revaluation	L04	per_lot	value	-760000.0	-760000.0	零变动
scenario_revaluation	L04	per_lot	delta	-200.0	-200.0	零变动
scenario_revaluation	L04	per_lot	gamma	-0.0	-0.0	零变动
scenario_revaluation	L04	per_lot	vega	-0.0	-0.0	零变动
scenario_revaluation	L04	per_lot	theta	-0.0	-0.0	零变动
scenario_revaluation	L04	per_lot	rho	-0.0	-0.0	零变动
scenario_revaluation	L05	per_unit	value	1.3372333798779046	1.2599080378623597	变动
scenario_revaluation	L05	per_unit	delta	0.22529258198560204	0.21489603952661837	变动
scenario_revaluation	L05	per_unit	gamma	0.027662285164370696	0.026880865473390497	变动
scenario_revaluation	L05	per_unit	vega	14.158353311492663	13.758400234452408	变动
scenario_revaluation	L05	per_unit	theta	-7.205265526706014	-6.685194613424447	变动
scenario_revaluation	L05	per_unit	rho	4.947672799418866	4.723203875465684	变动
scenario_revaluation	L05	per_lot	value	668.6166899389523	629.9540189311799	变动
scenario_revaluation	L05	per_lot	delta	112.64629099280101	107.44801976330919	变动
scenario_revaluation	L05	per_lot	gamma	13.831142582185349	13.440432736695248	变动
scenario_revaluation	L05	per_lot	vega	7079.176655746332	6879.2001172262035	变动
scenario_revaluation	L05	per_lot	theta	-3602.632763353007	-3342.5973067122236	变动
scenario_revaluation	L05	per_lot	rho	2473.836399709433	2361.601937732842	变动
scenario_revaluation	L06	per_unit	value	3.5449671051508815	3.6273157868420256	变动
scenario_revaluation	L06	per_unit	delta	-0.46542412643124675	-0.4720320226983654	变动
scenario_revaluation	L06	per_unit	gamma	0.04255331590423168	0.042536556476393976	变动
scenario_revaluation	L06	per_unit	vega	13.257398131643031	13.252176766337374	变动
scenario_revaluation	L06	per_unit	theta	-13.621704327115507	-14.267117844268231	变动
scenario_revaluation	L06	per_unit	rho	-5.88825112390512	-5.975797554639461	变动
scenario_revaluation	L06	per_lot	value	-2835.973684120705	-2901.8526294736203	变动
scenario_revaluation	L06	per_lot	delta	372.3393011449974	377.6256181586923	变动
scenario_revaluation	L06	per_lot	gamma	-34.042652723385345	-34.02924518111518	变动
scenario_revaluation	L06	per_lot	vega	-10605.918505314425	-10601.7414130699	变动
scenario_revaluation	L06	per_lot	theta	10897.363461692406	11413.694275414586	变动
scenario_revaluation	L06	per_lot	rho	4710.600899124096	4780.638043711569	变动
scenario_revaluation	L07	per_unit	value	17.55666027996176	18.035124033821276	变动
scenario_revaluation	L07	per_unit	delta	-0.6738814786338208	-0.6802545238746224	变动
scenario_revaluation	L07	per_unit	gamma	0.01632596751752473	0.0159647201296933	变动
scenario_revaluation	L07	per_unit	vega	24.111586601072087	23.578065530007915	变动
